	legnum
evenBo30.oddBo30	48982
evenBo14.oddBo80	25060
evenBo26.oddBo57	80138
evenBo7.oddBo51	59610
evenBo46.oddBo85	7473
evenBo37.oddBo82	46002
evenBo9.oddBo67	87156
evenBo13.oddBo64	24687
evenBo29.oddBo61	20512
evenBo21.oddBo14	26707
evenBo40.oddBo28	21370
evenBo47.oddBo38	7831
evenBo25.oddBo57	91621
evenBo22.oddBo7	35120
evenBo41.oddBo59	29558
evenBo23.oddBo57	57716
evenBo27.oddBo36	43700
evenBo33.oddBo79	25048
evenBo18.oddBo46	9596
evenBo34.oddBo16	28943
evenBo48.oddBo66	49862
evenBo15.oddBo82	2170
evenBo12.oddBo40	23744
evenBo39.oddBo9	21234
evenBo16.oddBo26	4729
evenBo42.oddBo90	15107
evenBo23.oddBo5	38201
evenBo30.oddBo89	1212
evenBo29.oddBo75	66119
evenBo43.oddBo81	5311
evenBo43.oddBo59	23852
evenBo34.oddBo76	77175
evenBo14.oddBo92	417
evenBo40.oddBo38	26391
evenBo10.oddBo74	20572
evenBo6.oddBo53	9881
evenBo48.oddBo59	73310
evenBo32.oddBo64	36420
evenBo44.oddBo12	7594
evenBo10.oddBo12	9972
evenBo45.oddBo8	4399
evenBo13.oddBo18	20759
evenBo36.oddBo68	5474
evenBo24.oddBo52	16800
evenBo15.oddBo17	18921
evenBo41.oddBo49	15510
evenBo43.oddBo80	17027
evenBo30.oddBo23	12637
evenBo36.oddBo20	60999
evenBo29.oddBo52	41412
evenBo46.oddBo57	21469
evenBo40.oddBo82	80129
evenBo44.oddBo82	33075
evenBo35.oddBo52	37723
evenBo29.oddBo39	50619
evenBo45.oddBo90	28521
evenBo24.oddBo51	37132
evenBo37.oddBo69	19078
evenBo45.oddBo55	39199
evenBo28.oddBo22	24988
evenBo37.oddBo48	79206
evenBo32.oddBo70	56991
evenBo18.oddBo58	39054
evenBo38.oddBo31	6865
evenBo25.oddBo73	53168
evenBo45.oddBo71	25407
evenBo23.oddBo55	50454
evenBo28.oddBo76	47919
evenBo25.oddBo74	56512
evenBo31.oddBo38	79563
evenBo40.oddBo60	71000
evenBo20.oddBo27	8823
evenBo38.oddBo35	82559
evenBo39.oddBo78	57785
evenBo40.oddBo71	100485
evenBo19.oddBo44	40353
evenBo10.oddBo18	112363
evenBo29.oddBo48	42353
evenBo7.oddBo64	27777
evenBo37.oddBo83	80867
evenBo50.oddBo35	9414
evenBo23.oddBo32	49381
evenBo43.oddBo83	23362
evenBo43.oddBo64	28254
evenBo29.oddBo11	12247
evenBo41.oddBo93	33997
evenBo19.oddBo22	19619
evenBo45.oddBo49	13254
evenBo30.oddBo76	7157
evenBo20.oddBo33	38672
evenBo30.oddBo81	29807
evenBo22.oddBo40	39761
evenBo29.oddBo82	38112
evenBo16.oddBo55	50857
evenBo25.oddBo10	22637
evenBo50.oddBo33	14674
evenBo14.oddBo52	36581
evenBo19.oddBo14	5543
evenBo49.oddBo79	5375
evenBo20.oddBo51	40354
evenBo31.oddBo42	59270
evenBo27.oddBo52	21637
evenBo41.oddBo11	22587
evenBo39.oddBo83	42731
evenBo15.oddBo73	15037
evenBo36.oddBo51	59371
evenBo42.oddBo59	43467
evenBo26.oddBo92	7108
